Site Name,University,Full Name,Award Year,Dissertation Title,City,State,Country
London Metropolitan Archives,University of Pennsylvania,Catherine Styer,2007,"This Christian and Charitable Work: Barbary Pirates, Slave Redemption, and the Formation of British Atlantic Identities, 1600-1776",London,,United Kingdom
New York Public Library,University of Pennsylvania,Catherine Styer,2007,"This Christian and Charitable Work: Barbary Pirates, Slave Redemption, and the Formation of British Atlantic Identities, 1600-1776",New York,NY,USA
Cornell University Library,"University of California, Berkeley",Nu-Anh Tran,2007,"Contested Identities: Nationalism in the Republic of Vietnam, 1954-1975",Ithaca,NY,USA
General Sciences Library (GSL),"University of California, Berkeley",Nu-Anh Tran,2007,"Contested Identities: Nationalism in the Republic of Vietnam, 1954-1975",Ho Chi Minh City,,Vietnam
General Sciences Library (GSL),"University of California, Berkeley",Nu-Anh Tran,2007,"Contested Identities: Nationalism in the Republic of Vietnam, 1954-1975",Ho Chi Minh City,,Vietnam
Vietnamese National Archives Center II (NACII),"University of California, Berkeley",Nu-Anh Tran,2007,"Contested Identities: Nationalism in the Republic of Vietnam, 1954-1975",Ho Chi Minh City,,Vietnam
"British National Archives, Public Record Office",Columbia University,Mari Webel,2007,Locating the Laboratory:  German Tropical Medicine and Sleeping Sickness Research in East Africa 1898-1914,London,,United Kingdom
Wellcome Library,Columbia University,Mari Webel,2007,Locating the Laboratory:  German Tropical Medicine and Sleeping Sickness Research in East Africa 1898-1914,London,,United Kingdom
"Archive of the Archbishopric of the Catholic Church, Montevideo",Emory University,Alex Borucki,2008,"From Shipmates to Soldiers: Emerging Black Identities in Montevideo, 1770-1850",Montevideo,,Uruguay
Archivo General de la Nacion de Uruguay,Emory University,Alex Borucki,2008,"From Shipmates to Soldiers: Emerging Black Identities in Montevideo, 1770-1850",Montevideo,,Uruguay
Biblioteca Nacional del Uruguay,Emory University,Alex Borucki,2008,"From Shipmates to Soldiers: Emerging Black Identities in Montevideo, 1770-1850",Montevideo,,Uruguay
"Archivio di Stato di Venezia (State Archive, Venice)",University of Miami,Simonetta Marin,2008,The Reform of Popular Piety in the Closing Years of the Venetian Republic,Venice,,Italy
Biblioteca Correr,University of Miami,Simonetta Marin,2008,The Reform of Popular Piety in the Closing Years of the Venetian Republic,Venice,,Italy
Congregation for the Doctrine of the Faith Archive,University of Miami,Simonetta Marin,2008,The Reform of Popular Piety in the Closing Years of the Venetian Republic,Rome,,Italy
British Library,Stanford University,Noah Millstone,2008,"Manuscript Separates and the Culture of Political Opposition in England, 1615-1640",London,,United Kingdom
Lambeth Palace Library,Stanford University,Noah Millstone,2008,"Manuscript Separates and the Culture of Political Opposition in England, 1615-1640",London,,United Kingdom
"Woburn Abbey, Bedfordshire (papers of the Earls of Bedford)",Stanford University,Noah Millstone,2008,"Manuscript Separates and the Culture of Political Opposition in England, 1615-1640",Woburn,,United Kingdom
Hamilton Public Library,New York University,Tracy Neumann,2008,"The Urban History of Deindustrialization: Pittsburgh and Hamilton, Ontario",Hamilton,,Canada
Jimmy Carter Library,New York University,Tracy Neumann,2008,"The Urban History of Deindustrialization: Pittsburgh and Hamilton, Ontario",Atlanta,GA,USA
"National Archives, Washington, DC",New York University,Tracy Neumann,2008,"The Urban History of Deindustrialization: Pittsburgh and Hamilton, Ontario",Washington,DC,USA
G.M. Syed collection,Tufts University,Lata Parwani,2008,"Sindhis Between Region, Religion and Nation",Sann,,Pakistan
Institute of Sindhology Library,Tufts University,Lata Parwani,2008,"Sindhis Between Region, Religion and Nation",Hyderabad,,Pakistan
Maharashtra State Archives,Tufts University,Lata Parwani,2008,"Sindhis Between Region, Religion and Nation",Mumbai,,India
National Archives of Pakistan,Tufts University,Lata Parwani,2008,"Sindhis Between Region, Religion and Nation",Islamabad,,Pakistan
"National Documentation Center, Pakistan",Tufts University,Lata Parwani,2008,"Sindhis Between Region, Religion and Nation",Islamabad,,Pakistan
Sindh Archives Complex,Tufts University,Lata Parwani,2008,"Sindhis Between Region, Religion and Nation",Karachi,,Pakistan
Sindhi Navjivan Sabha,Tufts University,Lata Parwani,2008,"Sindhis Between Region, Religion and Nation",Delhi,,India
"Eskind Biomedical Library, Vanderbilt University","University of California, Santa Cruz",Martin Renner,2008,"From Sun to Soil to Stomach: The Intellectual History of a Forgotten Link Between Ecology, Agronomy, and Nutrition, 1920-60",Nashville,TN,USA
"Kroch Library, Cornell University","University of California, Santa Cruz",Martin Renner,2008,"From Sun to Soil to Stomach: The Intellectual History of a Forgotten Link Between Ecology, Agronomy, and Nutrition, 1920-60",Ithaca,NY,USA
Malabar Farm State Park,"University of California, Santa Cruz",Martin Renner,2008,"From Sun to Soil to Stomach: The Intellectual History of a Forgotten Link Between Ecology, Agronomy, and Nutrition, 1920-60",Lucas,OH,USA
Price-Pottenger Nutrition Foundation archives,"University of California, Santa Cruz",Martin Renner,2008,"From Sun to Soil to Stomach: The Intellectual History of a Forgotten Link Between Ecology, Agronomy, and Nutrition, 1920-60",Lemon Grove,CA,USA
"Steenbock Library, University of Wisconsin-Madison","University of California, Santa Cruz",Martin Renner,2008,"From Sun to Soil to Stomach: The Intellectual History of a Forgotten Link Between Ecology, Agronomy, and Nutrition, 1920-60",Madison,WI,USA
Wellcome Library,"University of California, Santa Cruz",Martin Renner,2008,"From Sun to Soil to Stomach: The Intellectual History of a Forgotten Link Between Ecology, Agronomy, and Nutrition, 1920-60",London,,United Kingdom
City College of San Francisco Archives,Tulane University,Kellie Warren,2008,Pan-American Modernism,San Francisco,CA,USA
Organization of American States Columbus Memorial Library,Tulane University,Kellie Warren,2008,Pan-American Modernism,Washington,DC,USA
University of Maryland Library,Tulane University,Kellie Warren,2008,Pan-American Modernism,College Park,MD,USA
Bank of England Archive,Yale University,Alice Wolfram,2008,"The Making of the Middle-Class Family: Property, Inheritance and the Urban Family Economy in the British Atlantic World, c. 1670-1780",London,,United Kingdom
Bedfordshire Record Office,Yale University,Alice Wolfram,2008,"The Making of the Middle-Class Family: Property, Inheritance and the Urban Family Economy in the British Atlantic World, c. 1670-1780",Bedford,,United Kingdom
British Library,Yale University,Alice Wolfram,2008,"The Making of the Middle-Class Family: Property, Inheritance and the Urban Family Economy in the British Atlantic World, c. 1670-1780",London,,United Kingdom
"British National Archives, Public Record Office",Yale University,Alice Wolfram,2008,"The Making of the Middle-Class Family: Property, Inheritance and the Urban Family Economy in the British Atlantic World, c. 1670-1780",London,,United Kingdom
Guildhall Library,Yale University,Alice Wolfram,2008,"The Making of the Middle-Class Family: Property, Inheritance and the Urban Family Economy in the British Atlantic World, c. 1670-1780",London,,United Kingdom
Historical Society of Pennsylvania,Yale University,Alice Wolfram,2008,"The Making of the Middle-Class Family: Property, Inheritance and the Urban Family Economy in the British Atlantic World, c. 1670-1780",Philadelphia,PA,USA
Library Company of Philadelphia,Yale University,Alice Wolfram,2008,"The Making of the Middle-Class Family: Property, Inheritance and the Urban Family Economy in the British Atlantic World, c. 1670-1780",Philadelphia,PA,USA
Philadelphia City Hall archives,Yale University,Alice Wolfram,2008,"The Making of the Middle-Class Family: Property, Inheritance and the Urban Family Economy in the British Atlantic World, c. 1670-1780",Philadelphia,PA,USA
Peabody Essex Museum,Massachusetts Institute of Technology,Winnie Wong,2008,"After the Copy: China, Dafen Village, and the Hand-Painted Art Product",Salem,MA,USA
"Yenching Library, Harvard University",Massachusetts Institute of Technology,Winnie Wong,2008,"After the Copy: China, Dafen Village, and the Hand-Painted Art Product",Boston,MA,USA
"Bancroft Library, University of California, Berkeley",University of Pennsylvania,Daniel Berger,2009,The Spectacle of Punishment: Visibility and Protest in 1970s Prison Radicalism,Berkeley,CA,USA
"Green Library, Stanford University",University of Pennsylvania,Daniel Berger,2009,The Spectacle of Punishment: Visibility and Protest in 1970s Prison Radicalism,Stanford,CA,USA
Harry Ransom Center,University of Pennsylvania,Daniel Berger,2009,The Spectacle of Punishment: Visibility and Protest in 1970s Prison Radicalism,Austin,,USA
Howard University Library,University of Pennsylvania,Daniel Berger,2009,The Spectacle of Punishment: Visibility and Protest in 1970s Prison Radicalism,Washington,DC,USA
"Puerto Rican Studies Center, Hunter College",University of Pennsylvania,Daniel Berger,2009,The Spectacle of Punishment: Visibility and Protest in 1970s Prison Radicalism,New York,NY,USA
Colonial Williamsburg Foundation,University of Virginia,Lydia Brandt,2009,"Reliving Mount Vernon: Replicas and Memory, 1893-1934",Williamsburg,VA,USA
Historical Society of Pennsylvania,University of Virginia,Lydia Brandt,2009,"Reliving Mount Vernon: Replicas and Memory, 1893-1934",Philadelphia,PA,USA
"National Archives, Washington, DC",University of Virginia,Lydia Brandt,2009,"Reliving Mount Vernon: Replicas and Memory, 1893-1934",Washington,DC,USA
Philadelphia City Archives,University of Virginia,Lydia Brandt,2009,"Reliving Mount Vernon: Replicas and Memory, 1893-1934",Philadelphia,PA,USA
University of Virginia Special Collections Library,University of Virginia,Lydia Brandt,2009,"Reliving Mount Vernon: Replicas and Memory, 1893-1934",Charlottesville,VA,USA
Nationaal Archief (Dutch National Archives),Columbia University,Jun Hee (Jeun) Cho,2009,"Court in the Market: The Burgundian Capital(Mechelen) during the reign of Charles the Bold, 1467-77.",The Hague,,Netherlands
Archives departementales du Meuse,Harvard University,Rowan Dorin,2011,"Expulsions of Merchants and Moneylenders in Western Europe, 1200-1450",Bar le Duc,,France
Archives departementales du Nord,Harvard University,Rowan Dorin,2011,"Expulsions of Merchants and Moneylenders in Western Europe, 1200-1450",Lille,,France
Archives generales du Royaume,Harvard University,Rowan Dorin,2011,"Expulsions of Merchants and Moneylenders in Western Europe, 1200-1450",Brussels,,Belgium
Archives Nationales,Harvard University,Rowan Dorin,2011,"Expulsions of Merchants and Moneylenders in Western Europe, 1200-1450",Paris,,France
Archivio di Stato di Torino,Harvard University,Rowan Dorin,2011,"Expulsions of Merchants and Moneylenders in Western Europe, 1200-1450",Turin,,Italy
Arxiu de la Corona d'Arago,Harvard University,Rowan Dorin,2011,"Expulsions of Merchants and Moneylenders in Western Europe, 1200-1450",Barcelona,,Spain
Bibliotheque Nationale,Harvard University,Rowan Dorin,2011,"Expulsions of Merchants and Moneylenders in Western Europe, 1200-1450",Paris,,France
Harvard University,Harvard University,Rowan Dorin,2011,"Expulsions of Merchants and Moneylenders in Western Europe, 1200-1450",Cambridge,MA,USA
Art Library of the City Museums of Dresden,"University of California, Berkeley",Alice Goff,2011,Museum Bodies: Creating Encounters with Art in the 18./19. Century German Public Museum,Dresden,,Germany
Capital City Archive,"University of California, Berkeley",Alice Goff,2011,Museum Bodies: Creating Encounters with Art in the 18./19. Century German Public Museum,Dresden,,Germany
"Central Archive, Staatlich Museen zu Berlin","University of California, Berkeley",Alice Goff,2011,Museum Bodies: Creating Encounters with Art in the 18./19. Century German Public Museum,Berlin,,Germany
City Library of Hamburg,"University of California, Berkeley",Alice Goff,2011,Museum Bodies: Creating Encounters with Art in the 18./19. Century German Public Museum,Hamburg,,Germany
Classical Foundation of Weimar,"University of California, Berkeley",Alice Goff,2011,Museum Bodies: Creating Encounters with Art in the 18./19. Century German Public Museum,Weimar,,Germany
Hessian State Archive,"University of California, Berkeley",Alice Goff,2011,Museum Bodies: Creating Encounters with Art in the 18./19. Century German Public Museum,Marburg,,Germany
"Newspaper Archive, Berlin State Library","University of California, Berkeley",Alice Goff,2011,Museum Bodies: Creating Encounters with Art in the 18./19. Century German Public Museum,Berlin,,Germany
"State Archive, Preussischer Kulturbesitz","University of California, Berkeley",Alice Goff,2011,Museum Bodies: Creating Encounters with Art in the 18./19. Century German Public Museum,Berlin,,Germany
"University Library, Philipps-Universitat Marburg","University of California, Berkeley",Alice Goff,2011,Museum Bodies: Creating Encounters with Art in the 18./19. Century German Public Museum,Marburg,,Germany
"University of California, Berkeley","University of California, Berkeley",Alice Goff,2011,Museum Bodies: Creating Encounters with Art in the 18./19. Century German Public Museum,Berkeley,CA,USA
Chicago Historical Museum,"University of Maryland, College Park",M. Scott Heerman,2011,"""Nations of This Continent"": Slavery and the Making of the American Republic in the Mississippi Valley, 1750-1840",Chicago,IL,USA
Historical Society of Pennsylvania,"University of Maryland, College Park",M. Scott Heerman,2011,"""Nations of This Continent"": Slavery and the Making of the American Republic in the Mississippi Valley, 1750-1840",Philadelphia,PA,USA
Illinois State Archives,"University of Maryland, College Park",M. Scott Heerman,2011,"""Nations of This Continent"": Slavery and the Making of the American Republic in the Mississippi Valley, 1750-1840",Springfield,IL,USA
Library of Congress,"University of Maryland, College Park",M. Scott Heerman,2011,"""Nations of This Continent"": Slavery and the Making of the American Republic in the Mississippi Valley, 1750-1840",Washington,DC,USA
Newberry Library,"University of Maryland, College Park",M. Scott Heerman,2011,"""Nations of This Continent"": Slavery and the Making of the American Republic in the Mississippi Valley, 1750-1840",Chicago,IL,USA
William Clements Library,"University of Maryland, College Park",M. Scott Heerman,2011,"""Nations of This Continent"": Slavery and the Making of the American Republic in the Mississippi Valley, 1750-1840",Ann Arbor,MI,USA
Archive of Foreign Policy of the Russian Empire,Harvard University,Philippa Hetherington,2011,"Victims of the Social Temperament: Prostitution, Migration and the Traffic in Women in the Russian Empire and Soviet Union, 1890-1928",Moscow,,Russia
Central Municipal Archive of Moscow,Harvard University,Philippa Hetherington,2011,"Victims of the Social Temperament: Prostitution, Migration and the Traffic in Women in the Russian Empire and Soviet Union, 1890-1928",Moscow,,Russia
Central State Archive of Historical-Political Documents of St Petersburg,Harvard University,Philippa Hetherington,2011,"Victims of the Social Temperament: Prostitution, Migration and the Traffic in Women in the Russian Empire and Soviet Union, 1890-1928",St. Petersburg,,Russia
National Library of Russia,Harvard University,Philippa Hetherington,2011,"Victims of the Social Temperament: Prostitution, Migration and the Traffic in Women in the Russian Empire and Soviet Union, 1890-1928",St. Petersburg,,Russia
Russian State Archive of Social and Political History,Harvard University,Philippa Hetherington,2011,"Victims of the Social Temperament: Prostitution, Migration and the Traffic in Women in the Russian Empire and Soviet Union, 1890-1928",Moscow,,Russia
Russian State Historical Archive,Harvard University,Philippa Hetherington,2011,"Victims of the Social Temperament: Prostitution, Migration and the Traffic in Women in the Russian Empire and Soviet Union, 1890-1928",St. Petersburg,,Russia
Russian State Library,Harvard University,Philippa Hetherington,2011,"Victims of the Social Temperament: Prostitution, Migration and the Traffic in Women in the Russian Empire and Soviet Union, 1890-1928",Moscow,,Russia
Emory University,Emory University,Lena Suk,2011,"Girls' Night Out: Women, Movie-going, and Urbanism in Sao Paulo, Brazil, 1920-1960",Atlanta,GA,USA
Museum of Image and Sound,Emory University,Lena Suk,2011,"Girls' Night Out: Women, Movie-going, and Urbanism in Sao Paulo, Brazil, 1920-1960",Sao Paulo,,Brazil
National Archive,Emory University,Lena Suk,2011,"Girls' Night Out: Women, Movie-going, and Urbanism in Sao Paulo, Brazil, 1920-1960",Rio de Janeiro,,Brazil
National Library,Emory University,Lena Suk,2011,"Girls' Night Out: Women, Movie-going, and Urbanism in Sao Paulo, Brazil, 1920-1960",Rio de Janeiro,,Brazil
Public Archive of the State,Emory University,Lena Suk,2011,"Girls' Night Out: Women, Movie-going, and Urbanism in Sao Paulo, Brazil, 1920-1960",Sao Paulo,,Brazil
Washington Luis Historical Municipal Archive,Emory University,Lena Suk,2011,"Girls' Night Out: Women, Movie-going, and Urbanism in Sao Paulo, Brazil, 1920-1960",Sao Paulo,,Brazil
Archives départementales de la Somme,Yale University,Gene Tempest,2011,"Horse Power on the Western Front: The Mobilization, Deployment and Treatment of Horses in the German, French and British Armies, 1914-1938",Amiens,,France
Archives Departementales de Pyrenees Atlantique,Yale University,Gene Tempest,2011,"Horse Power on the Western Front: The Mobilization, Deployment and Treatment of Horses in the German, French and British Armies, 1914-1941",Pau,,France
Archives Departementales de Seine-et-Marne,Yale University,Gene Tempest,2011,"Horse Power on the Western Front: The Mobilization, Deployment and Treatment of Horses in the German, French and British Armies, 1914-1940",Dammarie-les-Lyons,,France
Archives Departementales du Nord,Yale University,Gene Tempest,2011,"Horse Power on the Western Front: The Mobilization, Deployment and Treatment of Horses in the German, French and British Armies, 1914-1939",Lille,,France
Historial de la Grande Guerre,Yale University,Gene Tempest,2011,"Horse Power on the Western Front: The Mobilization, Deployment and Treatment of Horses in the German, French and British Armies, 1914-1937",Peronne,,France
Imperial War Museum,Yale University,Gene Tempest,2011,"Horse Power on the Western Front: The Mobilization, Deployment and Treatment of Horses in the German, French and British Armies, 1914-1934",London,,United Kingdom
National Archives,Yale University,Gene Tempest,2011,"Horse Power on the Western Front: The Mobilization, Deployment and Treatment of Horses in the German, French and British Armies, 1914-1936",London,,United Kingdom
National Museum of Health and Medicine,Yale University,Gene Tempest,2011,"Horse Power on the Western Front: The Mobilization, Deployment and Treatment of Horses in the German, French and British Armies, 1914-1942",Washington,DC,USA
"Royal Veterinary College, University of London",Yale University,Gene Tempest,2011,"Horse Power on the Western Front: The Mobilization, Deployment and Treatment of Horses in the German, French and British Armies, 1914-1935",London,,United Kingdom
Yale University,Yale University,Gene Tempest,2011,"Horse Power on the Western Front: The Mobilization, Deployment and Treatment of Horses in the German, French and British Armies, 1914-1934",New Haven,CT,USA
Russian Historical State Archive,Princeton University,Elise  Bonner,2012,Sonic Culture and the Geographic Imagination: Italian Opera at Catherine IIÍs Court,St. Petersburg,,Russia
Russian Institute of Art History,Princeton University,Elise  Bonner,2012,Sonic Culture and the Geographic Imagination: Italian Opera at Catherine IIÍs Court,St. Petersburg,,Russia
Archives départmentales de l’Hérault,Brown University,Adam Boss,2012,Outsiders: The Limits of Urban Community in Late-Medieval France,Montpellier,,France
Archives Départmentales du Rhône,Brown University,Adam Boss,2012,Outsiders: The Limits of Urban Community in Late-Medieval France,Lyon,,France
Archives Municipales de Lyon,Brown University,Adam Boss,2012,Outsiders: The Limits of Urban Community in Late-Medieval France,Lyon,,France
Archives départementales d’Indre-et-Loire,Johns Hopkins University,William Brown,2012,"Les administrateurs de l'empire: Ambition, Expansion, and Mobility in the First French Empire, 1661-1715",Tours,,France
Archives départementales de la Charente-maritime,Johns Hopkins University,William Brown,2012,"Les administrateurs de l'empire: Ambition, Expansion, and Mobility in the First French Empire, 1661-1715",La Rochelle,,France
Archives départementales de la Gironde,Johns Hopkins University,William Brown,2012,"Les administrateurs de l'empire: Ambition, Expansion, and Mobility in the First French Empire, 1661-1715",Bordeaux,,France
Archives Nationales d'Outre-Mer,Johns Hopkins University,William Brown,2012,"Les administrateurs de l'empire: Ambition, Expansion, and Mobility in the First French Empire, 1661-1715",Aix-en-Provence,,France
Archives Nationales de France,Johns Hopkins University,William Brown,2012,"Les administrateurs de l'empire: Ambition, Expansion, and Mobility in the First French Empire, 1661-1715",Paris,,France
Bibliothèque Nationale de France,Johns Hopkins University,William Brown,2012,"Les administrateurs de l'empire: Ambition, Expansion, and Mobility in the First French Empire, 1661-1715",Paris,,France
Service Historique de la Défense,Johns Hopkins University,William Brown,2012,"Les administrateurs de l'empire: Ambition, Expansion, and Mobility in the First French Empire, 1661-1715",Paris,,France
Biblioteca Arthur Vianna,"University of California, Berkeley",Rebecca Herman,2012,"Strategies Under Construction:  Collaboration and Dissent at Pan AmÍs World War II Airbase Development Sites in Cuba and Brazil, 1940-1961",Bel_m,,Brazil
State Archive of the Russian Federation,Harvard University,Philippa Hetherington,2011,"Victims of the Social Temperament: Prostitution, Migration and the Traffic in Women in the Russian Empire and Soviet Union, 1890-1928",Moscow,,Russia
State Archives of Odessa Region,Harvard University,Philippa Hetherington,2011,"Victims of the Social Temperament: Prostitution, Migration and the Traffic in Women in the Russian Empire and Soviet Union, 1890-1928",Odessa,,Ukraine
The Women's Library,Harvard University,Philippa Hetherington,2011,"Victims of the Social Temperament: Prostitution, Migration and the Traffic in Women in the Russian Empire and Soviet Union, 1890-1928",London,,United Kingdom
United Nations Office at Geneva Library,Harvard University,Philippa Hetherington,2011,"Victims of the Social Temperament: Prostitution, Migration and the Traffic in Women in the Russian Empire and Soviet Union, 1890-1928",Geneva,,Switzerland
Archives of the University of Cadiz,Harvard University,Philip Johnston,2011,Phoenician and Iberian Economic Interactions in the Orientalizing Period (8th-6th centuries BC),Cadiz,,Spain
Harvard University,Harvard University,Philip Johnston,2011,Phoenician and Iberian Economic Interactions in the Orientalizing Period (8th-6th centuries BC),Cambridge,MA,USA
Museo de Huelva,Harvard University,Philip Johnston,2011,Phoenician and Iberian Economic Interactions in the Orientalizing Period (8th-6th centuries BC),Huelva,,Spain
University of Seville,Harvard University,Philip Johnston,2011,Phoenician and Iberian Economic Interactions in the Orientalizing Period (8th-6th centuries BC),Seville,,Spain
Abraham Rogatnick Resource Library,New York University,Eugenia Kisin,2011,"Indigenous Sovereignties, Non-secular Modernities: The Market for Northwest Coast First Nations Art in British Columbia",Vancouver,BC,Canada
Art Gallery of Ontario,New York University,Eugenia Kisin,2011,"Indigenous Sovereignties, Non-secular Modernities: The Market for Northwest Coast First Nations Art in British Columbia",Toronto,ON,Canada
British Columbia Provincial Archives,New York University,Eugenia Kisin,2011,"Indigenous Sovereignties, Non-secular Modernities: The Market for Northwest Coast First Nations Art in British Columbia",Victoria,BC,Canada
Chilliwack Museum and Archives,New York University,Eugenia Kisin,2011,"Indigenous Sovereignties, Non-secular Modernities: The Market for Northwest Coast First Nations Art in British Columbia",Chilliwack,BC,Canada
City of Vancouver Archives,New York University,Eugenia Kisin,2011,"Indigenous Sovereignties, Non-secular Modernities: The Market for Northwest Coast First Nations Art in British Columbia",Vancouver,BC,Canada
Haida Gwaii Museum,New York University,Eugenia Kisin,2011,"Indigenous Sovereignties, Non-secular Modernities: The Market for Northwest Coast First Nations Art in British Columbia",Skidegate,BC,Canada
Kitimat Museum and Archives,New York University,Eugenia Kisin,2011,"Indigenous Sovereignties, Non-secular Modernities: The Market for Northwest Coast First Nations Art in British Columbia",Kitimat,BC,Canada
Ksan Historical Village and Museum,New York University,Eugenia Kisin,2011,"Indigenous Sovereignties, Non-secular Modernities: The Market for Northwest Coast First Nations Art in British Columbia",Hazleton,BC,Canada
McMichael Gallery,New York University,Eugenia Kisin,2011,"Indigenous Sovereignties, Non-secular Modernities: The Market for Northwest Coast First Nations Art in British Columbia",Kleinburg,ON,Canada
Museum of Anthropology,New York University,Eugenia Kisin,2011,"Indigenous Sovereignties, Non-secular Modernities: The Market for Northwest Coast First Nations Art in British Columbia",Vancouver,BC,Canada
National Gallery of Canada,New York University,Eugenia Kisin,2011,"Indigenous Sovereignties, Non-secular Modernities: The Market for Northwest Coast First Nations Art in British Columbia",Ottawa,ON,Canada
Native Ministries Consortium/Vancouver School of Theology,New York University,Eugenia Kisin,2011,"Indigenous Sovereignties, Non-secular Modernities: The Market for Northwest Coast First Nations Art in British Columbia",Vancouver,BC,Canada
New York University,New York University,Eugenia Kisin,2011,"Indigenous Sovereignties, Non-secular Modernities: The Market for Northwest Coast First Nations Art in British Columbia",New York,NY,USA
Thunder Bay Art Gallery,New York University,Eugenia Kisin,2011,"Indigenous Sovereignties, Non-secular Modernities: The Market for Northwest Coast First Nations Art in British Columbia",Thunder Bay,ON,Canada
U'Mista Cultural Centre,New York University,Eugenia Kisin,2011,"Indigenous Sovereignties, Non-secular Modernities: The Market for Northwest Coast First Nations Art in British Columbia",Alert Bay,BC,Canada
United Church of Canada Archives,New York University,Eugenia Kisin,2011,"Indigenous Sovereignties, Non-secular Modernities: The Market for Northwest Coast First Nations Art in British Columbia",Toronto,ON,Canada
United Church of Canada Bob Stewart Archives,New York University,Eugenia Kisin,2011,"Indigenous Sovereignties, Non-secular Modernities: The Market for Northwest Coast First Nations Art in British Columbia",Vancouver,BC,Canada
Vancouver Art Gallery,New York University,Eugenia Kisin,2011,"Indigenous Sovereignties, Non-secular Modernities: The Market for Northwest Coast First Nations Art in British Columbia",Vancouver,BC,Canada
Vancouver Museum,New York University,Eugenia Kisin,2011,"Indigenous Sovereignties, Non-secular Modernities: The Market for Northwest Coast First Nations Art in British Columbia",Vancouver,BC,Canada
Hohenlohe-Zantralarchiv Neuenstein,University of Pennsylvania,Konstanze Kunst,2011,To the Printshops in Prague! From the Printshops in Prague!: The Making and Mobility of Jewish Books within the Ashkenazi Landscape of Jewish Printing in the Second Half of the Seventeenth Century,Schloss Neuenstein,,Germany
Library of the Jewish Museum,University of Pennsylvania,Konstanze Kunst,2011,To the Printshops in Prague! From the Printshops in Prague!: The Making and Mobility of Jewish Books within the Ashkenazi Landscape of Jewish Printing in the Second Half of the Seventeenth Century,Prague,,Czech Republic
Staatsarchiv Amberg,University of Pennsylvania,Konstanze Kunst,2011,To the Printshops in Prague! From the Printshops in Prague!: The Making and Mobility of Jewish Books within the Ashkenazi Landscape of Jewish Printing in the Second Half of the Seventeenth Century,Amberg,,Germany
Staatsarchiv Nurnberg,University of Pennsylvania,Konstanze Kunst,2011,To the Printshops in Prague! From the Printshops in Prague!: The Making and Mobility of Jewish Books within the Ashkenazi Landscape of Jewish Printing in the Second Half of the Seventeenth Century,Nuremberg,,Germany
The National Archive of the Czech Republic,University of Pennsylvania,Konstanze Kunst,2011,To the Printshops in Prague! From the Printshops in Prague!: The Making and Mobility of Jewish Books within the Ashkenazi Landscape of Jewish Printing in the Second Half of the Seventeenth Century,Prague,,Czech Republic
The National Library of Israel,University of Pennsylvania,Konstanze Kunst,2011,To the Printshops in Prague! From the Printshops in Prague!: The Making and Mobility of Jewish Books within the Ashkenazi Landscape of Jewish Printing in the Second Half of the Seventeenth Century,Jerusalem,,Israel
The National Library of the Czech Republic,University of Pennsylvania,Konstanze Kunst,2011,To the Printshops in Prague! From the Printshops in Prague!: The Making and Mobility of Jewish Books within the Ashkenazi Landscape of Jewish Printing in the Second Half of the Seventeenth Century,Prague,,Czech Republic
University of Pennsylvania,University of Pennsylvania,Konstanze Kunst,2011,To the Printshops in Prague! From the Printshops in Prague!: The Making and Mobility of Jewish Books within the Ashkenazi Landscape of Jewish Printing in the Second Half of the Seventeenth Century,Philadelphia,PA,USA
Archives Nationales,Harvard University,Melissa Lo,2011,"Representing, Not Resembling: Visual Transformations of Cartesian Physics in France and the Netherlands, 1637-1690",Paris,,France
Bibliotheque Sainte Genevieve,Harvard University,Melissa Lo,2011,"Representing, Not Resembling: Visual Transformations of Cartesian Physics in France and the Netherlands, 1637-1690",Paris,,France
Harvard University,Harvard University,Melissa Lo,2011,"Representing, Not Resembling: Visual Transformations of Cartesian Physics in France and the Netherlands, 1637-1690",Cambridge,MA,USA
Het Utrechts Archief,Harvard University,Melissa Lo,2011,"Representing, Not Resembling: Visual Transformations of Cartesian Physics in France and the Netherlands, 1637-1690",Utrecht,,Netherlands
Koninklijke Bibliotheek,Harvard University,Melissa Lo,2011,"Representing, Not Resembling: Visual Transformations of Cartesian Physics in France and the Netherlands, 1637-1690",The Hague,,Netherlands
Regionaal Archief Leiden,Harvard University,Melissa Lo,2011,"Representing, Not Resembling: Visual Transformations of Cartesian Physics in France and the Netherlands, 1637-1690",Leiden,,Netherlands
University of Leiden,Harvard University,Melissa Lo,2011,"Representing, Not Resembling: Visual Transformations of Cartesian Physics in France and the Netherlands, 1637-1690",Leiden,,Netherlands
University of Utrecht,Harvard University,Melissa Lo,2011,"Representing, Not Resembling: Visual Transformations of Cartesian Physics in France and the Netherlands, 1637-1690",Utrecht,,Netherlands
British Library,Duke University,Anne Phillips,2011,"Adulterous Wives and Murderous Husbands: Governance, Gendered Violence, and East Indian Indentureship in the British Atlantic, 1858 - 1917",London,,United Kingdom
British National Archive,Duke University,Anne Phillips,2011,"Adulterous Wives and Murderous Husbands: Governance, Gendered Violence, and East Indian Indentureship in the British Atlantic, 1858 - 1917",Kew,,United Kingdom
Court of Appeals Library,Duke University,Anne Phillips,2011,"Adulterous Wives and Murderous Husbands: Governance, Gendered Violence, and East Indian Indentureship in the British Atlantic, 1858 - 1917",Georgetown,,Guyana
